"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
PdfPageCollection,package:syncfusion_flutter_pdf/src/pdf/implementation/pages/pdf_page_collection.dart,1,48,48,0,0,0,0,0,1,48,48,0
PdfPageCollectionHelper,package:syncfusion_flutter_pdf/src/pdf/implementation/pages/pdf_page_collection.dart,1,48,48,0,0,0,0,0,1,48,48,0
PdfColor,package:pdf/src/pdf/color.dart,1,48,48,0,0,0,0,0,1,48,48,0
EdgeInsets,package:pdf/src/widgets/geometry.dart,1,48,48,0,0,0,0,0,1,48,48,0
PdfObjectType,package:syncfusion_flutter_pdf/src/pdf/implementation/io/enums.dart,3,48,48,0,0,0,0,0,3,48,48,0
EditorController,package:docly/features/pdf_editor/controllers/editor_controller.dart,1,48,48,0,0,0,0,0,1,48,48,0
CanvasGestureLayer,package:docly/features/pdf_editor/widgets/canvas_gesture_layer.dart,1,48,48,0,1,48,48,0,0,0,0,0
PdfFormFieldCollectionHelper,package:syncfusion_flutter_pdf/src/pdf/implementation/forms/pdf_form_field_collection.dart,1,48,48,0,0,0,0,0,1,48,48,0
PdfParser,package:syncfusion_flutter_pdf/src/pdf/implementation/io/pdf_parser.dart,1,48,48,0,0,0,0,0,1,48,48,0
DocumentDraftStore,package:docly/features/documents/data/document_draft_store.dart,1,48,48,0,0,0,0,0,1,48,48,0
PdfAnnotationCollection,package:syncfusion_flutter_pdf/src/pdf/implementation/annotations/pdf_annotation_collection.dart,2,32,32,0,0,0,0,0,2,32,32,0
PdfBoolean,package:syncfusion_flutter_pdf/src/pdf/implementation/primitives/pdf_boolean.dart,1,32,32,0,0,0,0,0,1,32,32,0
PdfBookmarkBase,package:syncfusion_flutter_pdf/src/pdf/implementation/pdf_document/outlines/pdf_outline.dart,1,32,32,0,0,0,0,0,1,32,32,0
PdfPageLayerCollection,package:syncfusion_flutter_pdf/src/pdf/implementation/pages/pdf_page_layer_collection.dart,2,32,32,0,0,0,0,0,2,32,32,0
PdfEncryptionOptions,package:syncfusion_flutter_pdf/src/pdf/implementation/security/enum.dart,2,32,32,0,0,0,0,0,2,32,32,0
PdfReader,package:syncfusion_flutter_pdf/src/pdf/implementation/io/pdf_reader.dart,1,32,32,0,0,0,0,0,1,32,32,0
